#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   9375.6200692588027       -2.6558666598342602
   9462.3716136579296       -2.6560885350875028
   9549.9258602143600       -2.6563130963759622
   9638.2902362397053       -2.6563968787085388
   9727.4722377696507       -2.6563969773182250
   9817.4794301998445       -2.6564344744315909
   9908.3194489276757       -2.6566568959081036
   10000.000000000000       -2.6568754103946630
   10092.528860766834       -2.6570992866290979
   10185.913880541169       -2.6573206942786247
   10280.162981264746       -2.6574799428613662
   10375.284158180126       -2.6574800411372981
   10471.285480508985       -2.6574801394132050
   10568.175092136586       -2.6576653450263747
   10665.961212302589       -2.6578864252323475
   10764.652136298349       -2.6581073476664239
   10864.256236170644       -2.6583280811818275
   10964.781961431851       -2.6585485809104110
   11066.237839776675       -2.6585598648663793
   11168.632477805611       -2.6585599627370411
   11271.974561755094       -2.6586714356746310
   11376.272858234310       -2.6588914395452856
   11481.536214968841       -2.6591110062142453
   11587.773561551261       -2.6593350095877777
   11694.993910198700       -2.6595542400602987
   11803.206356517298       -2.6596384661382171
   11912.420080273761       -2.6596385639649900
   12022.644346174131       -2.6596770840584085
   12133.888504649762       -2.6598972817579165
   12246.161992650490       -2.6601174161411363
   12359.474334445120       -2.6601767948966115
   12473.835142429432       -2.6601768926569918
   12589.254117941662       -2.6602401719261199
   12705.741052085419       -2.6604602590173623
   12823.305826560230       -2.6606787520439985
   12941.958414499863       -2.6608980891857339
   13061.708881318404       -2.6611172057943304
   13182.567385564074       -2.6612487639147870
   13304.544179780927       -2.6612488611133349
   13427.649611378642       -2.6612489583118282
   13551.894123510350       -2.6614580058539028
   13677.288255958494       -2.6616813808516975
   13803.842646028867       -2.6618993705491185
   13931.568029453036       -2.6621176881936250
   14060.475241299129       -2.6623217780910546
   14190.575216890926       -2.6623218753215547
   14321.878992735454       -2.6623219725520371
   14454.397707459280       -2.6624587087317351
   14588.142602753474       -2.6626775173872201
   14723.125024327193       -2.6628962471930619
   14859.356422870091       -2.6631149095754485
   14996.848355023740       -2.6633335196755157
   15135.612484362071       -2.6633911710509559
   15275.660582380731       -2.6633912681371101
   15417.004529495616       -2.6634554287361025
   15559.656316050750       -2.6636739991526710
   15703.628043335515       -2.6638925806067753
   15848.931924611141       -2.6639256197499130
   15995.580286146711       -2.6639257168469648
   16143.585568264869       -2.6640145078547013
   16292.960326397215       -2.6642281866560409
   16443.717232149324       -2.6644469963372606
   16595.869074375631       -2.6646660070658337
   16749.428760264382       -2.6648838929205274
   16904.409316432633       -2.6649888168591729
   17060.823890031243       -2.6649889134698515
   17218.685749860095       -2.6650052196352574
   17378.008287493762       -2.6652226516628206
   17538.805018417603       -2.6654399250316967
   17701.089583174220       -2.6656569932084295
   17864.875748520499       -2.6658737712080560
